SA2 CODE 2018,SA2 2018,DHB, POPULATION , FIRST DOSE , SECOND DOSE , FIRST DOSE UPTAKE , SECOND DOSE UPTAKE 
100100,North Cape,Northland,1524,1266,1163, 831 , 763 
100200,Rangaunu Harbour,Northland,1895,1499,1272, 791 , 671 
100400,Karikari Peninsula,Northland,1320,1048,908, 794 , 688 
100500,Tangonge,Northland,954,785,702, 823 , 736 
100600,Ahipara,Northland,1042,826,709, 793 , 680 
100700,Kaitaia East,Northland,1983,1559,1212, 786 , 611 
100800,Kaitaia West,Northland,2926,2304,1818, 787 , 621 
100900,Rangitihi,Northland,785,621,509, 791 , 648 
101000,Oruru-Parapara,Northland,807,608,503, 753 , 623 
101100,Taumarumaru,Northland,2196,1880,1696, 856 , 772 
101200,Herekino-Takahue,Northland,840,615,504, 732 , 600 
101300,Peria,Northland,1031,706,583, 685 , 565 
101400,Taemaro-Oruaiti,Northland,842,645,571, 766 , 678 
101500,Whakapaku,Northland,641,452,398, 705 , 621 
101600,Hokianga North,Northland,740,580,511, 784 , 691 
101700,Kohukohu-Broadwood,Northland,674,527,467, 782 , 693 
101800,Whakarara,Northland,1077,872,775, 810 , 720 
101900,Kaeo,Northland,1006,725,638, 721 , 634 
102000,Omahuta Forest-Horeke,Northland,948,645,529, 680 , 558 
102100,Hokianga South,Northland,1122,771,650, 687 , 579 
102200,Lake Manuwai-Kapiro,Northland,1953,1685,1517, 863 , 777 
102300,Okaihau,Northland,980,792,683, 808 , 697 
102400,Rangitane-Purerua,Northland,1227,1016,903, 828 , 736 
102500,Waipapa,Northland,685,571,513, 834 , 749 
102600,Puketotara,Northland,1553,1329,1201, 856 , 773 
102700,Waima Forest,Northland,952,653,502, 686 , 527 
102800,Riverview,Northland,1922,1768,1632, 920 , 849 
102900,Waipoua Forest,Northland,1111,757,644, 681 , 580 
103000,Kerikeri Central,Northland,2315,2042,1846, 882 , 797 
103100,Kerikeri South,Northland,2461,2178,2024, 885 , 822 
103200,Ohaeawai-Waimate North,Northland,1050,867,770, 826 , 733 
103300,Puketona-Waitangi,Northland,1253,1038,964, 828 , 769 
103400,Ngapuhi,Northland,1244,917,754, 737 , 606 
103500,Kaikohe,Northland,3535,2557,2108, 723 , 596 
103600,Pakaraka,Northland,532,435,375, 818 , 705 
103700,Haruru,Northland,997,822,757, 824 , 759 
103800,Russell,Northland,754,670,638, 889 , 846 
103900,Paihia,Northland,1470,1244,1134, 846 , 771 
104000,Mataraua Forest,Northland,452,331,259, 732 , 573 
104100,Matawaia-Taumarere,Northland,1222,882,734, 722 , 601 
104200,Russell Peninsula,Northland,597,486,455, 814 , 762 
104300,Opua (Far North District),Northland,1145,984,911, 859 , 796 
104400,Russell Forest-Rawhiti,Northland,608,478,436, 786 , 717 
104500,Moerewa,Northland,1330,1016,858, 764 , 645 
104600,Kawakawa,Northland,1196,948,809, 793 , 676 
104700,Maromaku,Northland,577,422,354, 731 , 614 
104800,Mangakahia-Hukerenui,Northland,1529,1202,1009, 786 , 660 
104900,Whangaruru,Northland,2129,1770,1530, 831 , 719 
105100,Matarau,Northland,2744,2354,2158, 858 , 786 
105200,Hikurangi,Northland,1195,946,802, 792 , 671 
105300,Kauri,Northland,1502,1284,1161, 855 , 773 
105400,Maungatapere,Northland,3003,2546,2311, 848 , 770 
105500,Kamo West,Northland,1897,1648,1506, 869 , 794 
105600,Matapouri-Tutukaka,Northland,1591,1374,1262, 864 , 793 
105700,Kiripaka,Northland,870,727,642, 836 , 738 
105800,Kamo East,Northland,2433,2056,1790, 845 , 736 
105900,Granfield Reserve,Northland,2825,2571,2369, 910 , 839 
106000,Kamo Central,Northland,1366,1201,1061, 879 , 777 
106100,Whau Valley,Northland,2510,2130,1951, 849 , 777 
106200,Tikipunga North,Northland,2764,2395,2091, 866 , 757 
106300,Pukenui,Northland,1977,1779,1668, 900 , 844 
106400,Otangarei,Northland,1728,1242,948, 719 , 549 
106500,Tikipunga South,Northland,3160,2718,2408, 860 , 762 
106600,Kensington (Whangarei District),Northland,2921,2603,2371, 891 , 812 
106700,Abbey Caves-Glenbervie,Northland,1169,1021,954, 873 , 816 
106800,Mairtown,Northland,2161,1902,1744, 880 , 807 
106900,Maunu-Horahora,Northland,2995,2636,2422, 880 , 809 
107000,Woodhill-Vinetown,Northland,2476,2122,1915, 857 , 773 
107100,Whangarei Central,Northland,959,859,778, 896 , 811 
107200,Riverside,Northland,1865,1582,1423, 848 , 763 
107300,Raumanga,Northland,2666,2073,1672, 778 , 627 
107400,Tarewa,Northland,1500,1145,930, 763 , 620 
107500,Morningside (Whangarei District),Northland,1934,1628,1391, 842 , 719 
107600,Ngunguru,Northland,1044,919,856, 880 , 820 
107700,Otaika-Portland,Northland,1147,928,834, 809 , 727 
107800,Oakleigh-Mangapai,Northland,1951,1652,1512, 847 , 775 
107900,Port-Limeburners,Northland,183,156,135, 852 , 738 
108000,Pataua,Northland,1438,1181,1049, 821 , 729 
108100,Onerahi Park,Northland,1386,1227,1132, 885 , 817 
108200,Sherwood Rise,Northland,2027,1726,1520, 852 , 750 
