sa2_code,sa2_name,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
Unknown,Unknown,Unknown,444,160,1520,292,105
100100,North Cape,Northland,42,13,159,264,82
100200,Rangaunu Harbour,Northland,35,13,191,183,68
100400,Karikari Peninsula,Northland,20,5,87,230,57
100500,Tangonge,Northland,19,Masked,93,204,<50
100600,Ahipara,Northland,35,9,106,330,85
100700,Kaitaia East,Northland,86,21,289,298,73
100800,Kaitaia West,Northland,80,28,397,202,71
100900,Rangitihi,Northland,8,Masked,58,138,52
101000,Oruru-Parapara,Northland,14,5,64,219,78
101100,Taumarumaru,Northland,31,9,142,218,63
101200,Herekino-Takahue,Northland,25,Masked,84,298,<50
101300,Peria,Northland,16,6,85,188,71
101400,Taemaro-Oruaiti,Northland,21,Masked,73,288,55
101500,Whakapaku,Northland,19,Masked,59,322,51
101600,Hokianga North,Northland,34,6,131,260,<50
101700,Kohukohu-Broadwood,Northland,11,Masked,46,239,<50
101800,Whakarara,Northland,32,17,76,421,224
101900,Kaeo,Northland,35,15,107,327,140
102000,Omahuta Forest-Horeke,Northland,13,5,124,105,<50
102100,Hokianga South,Northland,26,6,113,230,53
102200,Lake Manuwai-Kapiro,Northland,18,Masked,54,333,<50
102300,?kaihau,Northland,12,Masked,56,214,<50
102400,Rangitane-Purerua,Northland,12,5,65,185,77
102500,Waipapa,Northland,Masked,Masked,Masked,Masked,Masked
102600,Puketotara,Northland,24,Masked,54,444,56
102700,Waim? Forest,Northland,20,6,128,156,<50
102800,Riverview,Northland,22,Masked,58,379,69
102900,Waipoua Forest,Northland,16,5,85,188,59
103000,Kerikeri Central,Northland,27,9,106,255,85
103100,Kerikeri South,Northland,19,5,48,396,104
103200,?haeawai-Waimate North,Northland,13,5,70,186,71
103300,Puketona-Waitangi,Northland,22,Masked,44,500,68
103400,Ngapuhi,Northland,31,7,174,178,<50
103500,Kaikohe,Northland,146,43,609,240,71
103600,Pakaraka,Northland,Masked,Masked,Masked,Masked,Masked
103700,Haruru,Northland,28,6,66,424,91
103800,Russell,Northland,Masked,Masked,Masked,Masked,Masked
103900,Paihia,Northland,20,6,82,244,73
104000,Mataraua Forest,Northland,11,5,63,175,79
104100,Matawaia-Taumarere,Northland,41,7,164,250,<50
104200,Russell Peninsula,Northland,Masked,Masked,Masked,Masked,Masked
104300,Opua (Far North District),Northland,Masked,Masked,Masked,Masked,Masked
104400,Russell Forest-Rawhiti,Northland,11,Masked,63,175,<50
104500,Moerewa,Northland,33,9,254,130,<50
104600,Kawakawa,Northland,32,8,166,193,<50
104700,Maromaku,Northland,22,Masked,61,361,66
104800,Mangakahia-H?kerenui,Northland,27,Masked,124,218,<50
104900,Whangaruru,Northland,47,8,124,379,65
105100,Matarau,Northland,27,11,90,300,122
105200,Hikurangi,Northland,43,14,137,314,102
105300,Kauri,Northland,17,5,59,288,85
105400,Maungatapere,Northland,36,14,101,356,139
105500,Kamo West,Northland,38,15,98,388,153
105600,Matapouri-Tutukaka,Northland,Masked,Masked,Masked,Masked,Masked
105700,Kiripaka,Northland,Masked,Masked,Masked,Masked,Masked
105800,Kamo East,Northland,69,18,251,275,72
105900,Granfield Reserve,Northland,30,8,85,353,94
106000,Kamo Central,Northland,35,13,87,402,149
106100,Whau Valley,Northland,41,10,123,333,81
106200,Tikipunga North,Northland,73,15,271,269,55
106300,Pukenui,Northland,28,6,52,538,115
106400,Otangarei,Northland,42,7,273,154,<50
106500,Tikipunga South,Northland,105,23,296,355,78
106600,Kensington (Whangarei District),Northland,22,9,125,176,72
106700,Abbey Caves-Glenbervie,Northland,Masked,Masked,Masked,Masked,Masked
106800,Mairtown,Northland,30,7,97,309,72
106900,Maunu-Horahora,Northland,41,14,106,387,132
107000,Woodhill-Vinetown,Northland,31,10,116,267,86
107100,Whang?rei Central,Northland,Masked,Masked,Masked,Masked,Masked
107200,Riverside,Northland,31,5,79,392,63
107300,Raumanga,Northland,82,17,351,234,<50
107400,Tarewa,Northland,62,18,239,259,75
107500,Morningside (Whangarei District),Northland,46,17,135,341,126
107600,Ngunguru,Northland,Masked,Masked,Masked,Masked,Masked
107700,Otaika-Portland,Northland,18,9,53,340,170
107800,Oakleigh-Mangapai,Northland,11,5,59,186,85
107900,Port-Limeburners,Northland,Masked,Masked,Masked,Masked,Masked
108000,Pataua,Northland,8,Masked,42,190,95
108100,Onerahi Park,Northland,17,8,50,340,160
108200,Sherwood Rise,Northland,40,13,156,256,83
108300,Onerahi,Northland,38,16,155,245,103
108500,Parua Bay,Northland,26,8,60,433,133
108600,Bream Bay,Northland,19,7,67,284,104
108700,Marsden Bay,Northland,22,12,79,278,152
108800,Ruak?k?,Northland,39,9,135,289,67
108900,Bream Head,Northland,Masked,Masked,Masked,Masked,Masked
109000,Waipu,Northland,12,5,49,245,102
109100,Kaipara Coastal,Northland,41,14,161,255,87
109200,Maungaru,Northland,18,Masked,56,321,71
109300,Dargaville,Northland,46,20,273,168,73
109400,Ruawai-Matakohe,Northland,23,7,104,221,67
109500,Otamatea (Kaipara District),Northland,Masked,Masked,Masked,Masked,Masked
109600,Maungaturoto,Northland,18,Masked,51,353,78
109700,Kaiwaka,Northland,24,Masked,92,261,<50
109800,Mangawhai Rural,Northland,11,6,52,212,115
109900,Mangawhai Heads,Northland,15,6,41,366,146
110100,Mangawhai,Northland,Masked,Masked,Masked,Masked,Masked
110200,Okahukura Peninsula,Waitemata,8,Masked,48,167,83
110400,Cape Rodney,Waitemata,28,16,80,350,200
110500,Wellsford,Waitemata,12,6,67,179,90
110700,South Head,Waitemata,21,Masked,80,262,50
110800,Kaipara Hills,Waitemata,16,Masked,51,314,78
110900,Dome Valley-Matakana,Waitemata,Masked,Masked,Masked,Masked,Masked
111100,Warkworth West,Waitemata,Masked,Masked,Masked,Masked,Masked
111200,Puhoi Valley,Waitemata,Masked,Masked,Masked,Masked,Masked
111300,Warkworth East,Waitemata,Masked,Masked,Masked,Masked,Masked
111400,Sandspit,Waitemata,Masked,Masked,Masked,Masked,Masked
111500,Tawharanui Peninsula,Waitemata,Masked,Masked,Masked,Masked,Masked
111600,Te Kuru,Waitemata,18,5,42,429,119
111700,Snells Beach,Waitemata,23,11,41,561,268
111800,Barrier Islands,Auckland,Masked,Masked,Masked,Masked,Masked
111900,Algies Bay-Scotts Landing,Waitemata,Masked,Masked,Masked,Masked,Masked
112100,Wainui-Waiwera,Waitemata,Masked,Masked,Masked,Masked,Masked
112200,Parakai,Waitemata,Masked,Masked,Masked,Masked,Masked
112300,Helensville Rural,Waitemata,Masked,Masked,Masked,Masked,Masked
112400,Helensville,Waitemata,34,9,Masked,370,98
112500,Waitoki,Waitemata,Masked,Masked,Masked,Masked,Masked
112600,Waikoukou Valley,Waitemata,Masked,Masked,Masked,Masked,Masked
112700,Orewa North,Waitemata,Masked,Masked,Masked,Masked,Masked
112800,Hatfields Beach,Waitemata,Masked,Masked,Masked,Masked,Masked
112900,Orewa South,Waitemata,Masked,Masked,Masked,Masked,Masked
113000,Orewa Central,Waitemata,Masked,Masked,Masked,Masked,Masked
113100,Millwater North,Waitemata,Masked,Masked,Masked,Masked,Masked
113200,Waipatukahu,Waitemata,Masked,Masked,Masked,Masked,Masked
113300,Millwater South,Waitemata,20,Masked,40,500,100
113400,Dairy Flat North,Waitemata,Masked,Masked,Masked,Masked,Masked
113500,Dairy Flat West,Waitemata,Masked,Masked,Masked,Masked,Masked
113600,Kingsway,Waitemata,Masked,Masked,Masked,Masked,Masked
113800,Silverdale Central (Auckland),Waitemata,Masked,Masked,Masked,Masked,Masked
113900,Red Beach West,Waitemata,Masked,Masked,Masked,Masked,Masked
114000,Red Beach East,Waitemata,Masked,Masked,Masked,Masked,Masked
114100,Silverdale South (Auckland),Waitemata,Masked,Masked,Masked,Masked,Masked
114200,Waimauku,Waitemata,Masked,Masked,Masked,Masked,Masked
114400,Vipond,Waitemata,13,7,48,271,146
114500,Muriwai,Waitemata,Masked,Masked,Masked,Masked,Masked
114600,Stanmore Bay West,Waitemata,26,10,44,591,227
114700,Kumeu Rural West,Waitemata,Masked,Masked,Masked,Masked,Masked
114800,Okura Bush,Waitemata,Masked,Masked,Masked,Masked,Masked
114900,Whangapar?oa Central,Waitemata,26,11,56,464,196
115000,Kumeu-Huapai,Waitemata,46,19,71,648,268
115100,Stanmore Bay East,Waitemata,Masked,Masked,Masked,Masked,Masked
115200,Manly West,Waitemata,Masked,Masked,Masked,Masked,Masked
115300,Muriwai Valley-Bethells Beach,Waitemata,Masked,Masked,Masked,Masked,Masked
115400,Tindalls-Matakatia,Waitemata,Masked,Masked,Masked,Masked,Masked
115500,Coatesville,Waitemata,Masked,Masked,Masked,Masked,Masked
115600,Dairy Flat South,Waitemata,Masked,Masked,Masked,Masked,Masked
115700,Gulf Harbour North,Waitemata,Masked,Masked,Masked,Masked,Masked
115800,Manly East,Waitemata,30,13,52,577,250
115900,Riverhead,Waitemata,24,13,43,558,302
116000,Army Bay,Waitemata,Masked,Masked,Masked,Masked,Masked
116100,Kumeu Rural East,Waitemata,Masked,Masked,Masked,Masked,Masked
116200,Gulf Harbour South,Waitemata,Masked,Masked,Masked,Masked,Masked
116300,Paremoremo West,Waitemata,Masked,Masked,Masked,Masked,Masked
116400,Taupaki,Waitemata,Masked,Masked,Masked,Masked,Masked
116500,Long Bay,Waitemata,Masked,Masked,Masked,Masked,Masked
116600,Paremoremo East,Waitemata,Masked,Masked,Masked,Masked,Masked
116700,Albany Heights,Waitemata,Masked,Masked,Masked,Masked,Masked
116800,Awaruku,Waitemata,Masked,Masked,Masked,Masked,Masked
116900,Fairview Heights,Waitemata,Masked,Masked,Masked,Masked,Masked
117000,Whenuapai,Waitemata,39,21,75,520,280
117100,Waitakere Ranges North,Waitemata,Masked,Masked,Masked,Masked,Masked
117200,Torbay,Waitemata,Masked,Masked,Masked,Masked,Masked
117300,Albany Central,Waitemata,Masked,Masked,Masked,Masked,Masked
117400,Albany West,Waitemata,Masked,Masked,Masked,Masked,Masked
117500,Glamorgan,Waitemata,Masked,Masked,Masked,Masked,Masked
117600,Oteha East,Waitemata,Masked,Masked,Masked,Masked,Masked
117700,Northcross,Waitemata,Masked,Masked,Masked,Masked,Masked
117900,Waiake,Waitemata,Masked,Masked,Masked,Masked,Masked
118000,Waitakere,Waitemata,Masked,Masked,Masked,Masked,Masked
118100,Albany South,Waitemata,Masked,Masked,Masked,Masked,Masked
118200,Browns Bay South West,Waitemata,Masked,Masked,Masked,Masked,Masked
