sa2_code,sa2_name,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
100100,North Cape,Northland,694,614,820,846,749
100200,Rangaunu Harbour,Northland,758,600,987,768,608
100400,Karikari Peninsula,Northland,358,270,513,698,526
100500,Tangonge,Northland,424,359,537,790,669
100600,Ahipara,Northland,433,344,575,753,598
100700,Kaitaia East,Northland,933,638,1295,720,493
100800,Kaitaia West,Northland,1357,950,1835,740,518
100900,Rangitihi,Northland,268,190,375,715,507
101000,Oruru-Parapara,Northland,224,160,310,723,516
101100,Taumarumaru,Northland,433,348,561,772,620
101200,Herekino-Takahue,Northland,276,209,398,693,525
101300,Peria,Northland,232,163,342,678,477
101400,Taemaro-Oruaiti,Northland,194,150,292,664,514
101500,Whakapaku,Northland,174,139,260,669,535
101600,Hokianga North,Northland,486,417,622,781,670
101700,Kohukohu-Broadwood,Northland,253,207,362,699,572
101800,Whakarara,Northland,416,354,519,802,682
101900,Kaeo,Northland,287,236,424,677,557
102000,Omahuta Forest-Horeke,Northland,367,276,607,605,455
102100,Hokianga South,Northland,434,338,672,646,503
102200,Lake Manuwai-Kapiro,Northland,165,127,242,682,525
102300,Okaihau,Northland,219,164,291,753,564
102400,Rangitane-Purerua,Northland,243,194,321,757,604
102500,Waipapa,Northland,75,59,112,670,527
102600,Puketotara,Northland,173,148,214,808,692
102700,Waima Forest,Northland,495,353,761,650,464
102800,Riverview,Northland,175,152,217,806,700
102900,Waipoua Forest,Northland,417,334,614,679,544
103000,Kerikeri Central,Northland,336,247,442,760,559
103100,Kerikeri South,Northland,179,140,224,799,625
103200,Ohaeawai-Waimate North,Northland,322,263,407,791,646
103300,Puketona-Waitangi,Northland,221,181,271,815,668
103400,Ngapuhi,Northland,638,478,928,688,515
103500,Kaikohe,Northland,1798,1383,2718,662,509
103600,Pakaraka,Northland,97,85,141,688,603
103700,Haruru,Northland,162,138,209,775,660
103800,Russell,Northland,120,102,134,896,761
103900,Paihia,Northland,337,265,469,719,565
104000,Mataraua Forest,Northland,231,163,330,700,494
104100,Matawaia-Taumarere,Northland,518,402,772,671,521
104200,Russell Peninsula,Northland,42,38,70,600,543
104300,Opua (Far North District),Northland,125,101,178,702,567
104400,Russell Forest-Rawhiti,Northland,280,240,378,741,635
104500,Moerewa,Northland,873,717,1172,745,612
104600,Kawakawa,Northland,601,476,813,739,585
104700,Maromaku,Northland,170,127,244,697,520
104800,Mangakahia-Hukerenui,Northland,426,323,571,746,566
104900,Whangaruru,Northland,496,388,626,792,620
105100,Matarau,Northland,269,220,352,764,625
105200,Hikurangi,Northland,330,267,454,727,588
105300,Kauri,Northland,182,152,223,816,682
105400,Maungatapere,Northland,336,285,414,812,688
105500,Kamo West,Northland,313,259,381,822,680
105600,Matapouri-Tutukaka,Northland,163,142,215,758,660
105700,Kiripaka,Northland,126,108,183,689,590
105800,Kamo East,Northland,650,503,887,733,567
105900,Granfield Reserve,Northland,371,303,451,823,672
106000,Kamo Central,Northland,317,245,392,809,625
106100,Whau Valley,Northland,472,379,587,804,646
106200,Tikipunga North,Northland,744,561,965,771,581
106300,Pukenui,Northland,138,117,172,802,680
106400,Otangarei,Northland,825,561,1263,653,444
106500,Tikipunga South,Northland,917,724,1166,786,621
106600,Kensington (Whangarei District),Northland,520,415,697,746,595
106700,Abbey Caves-Glenbervie,Northland,105,90,143,734,629
106800,Mairtown,Northland,406,339,520,781,652
106900,Maunu-Horahora,Northland,409,335,514,796,652
107000,Woodhill-Vinetown,Northland,519,417,716,725,582
107100,Whangarei Central,Northland,189,154,255,741,604
107200,Riverside,Northland,300,241,409,733,589
107300,Raumanga,Northland,965,675,1422,679,475
107400,Tarewa,Northland,571,436,849,673,514
107500,Morningside (Whangarei District),Northland,580,439,762,761,576
107600,Ngunguru,Northland,122,105,152,803,691
107700,Otaika-Portland,Northland,196,169,285,688,593
107800,Oakleigh-Mangapai,Northland,166,151,229,725,659
107900,Port-Limeburners,Northland,20,9,31,645,290
108000,Pataua,Northland,119,95,175,680,543
108100,Onerahi Park,Northland,192,159,246,780,646
108200,Sherwood Rise,Northland,479,383,611,784,627
108300,Onerahi,Northland,410,296,576,712,514
108500,Parua Bay,Northland,216,176,261,828,674
108600,Bream Bay,Northland,263,213,347,758,614
108700,Marsden Bay,Northland,246,203,294,837,690
108800,Ruakaka,Northland,454,338,579,784,584
108900,Bream Head,Northland,71,61,95,747,642
109000,Waipu,Northland,201,171,274,734,624
109100,Kaipara Coastal,Northland,559,436,824,678,529
109200,Maungaru,Northland,196,158,250,784,632
109300,Dargaville,Northland,888,686,1303,682,526
109400,Ruawai-Matakohe,Northland,348,286,458,760,624
109500,Otamatea (Kaipara District),Northland,99,78,162,611,481
109600,Maungaturoto,Northland,127,98,178,713,551
109700,Kaiwaka,Northland,291,215,427,681,504
109800,Mangawhai Rural,Northland,113,89,162,698,549
109900,Mangawhai Heads,Northland,126,101,158,797,639
110100,Mangawhai,Northland,51,44,70,729,629
110200,Okahukura Peninsula,Waitemata,127,100,175,726,571
110400,Cape Rodney,Waitemata,298,262,358,832,732
110500,Wellsford,Waitemata,195,161,286,682,563
110700,South Head,Waitemata,279,235,354,788,664
110800,Kaipara Hills,Waitemata,194,153,249,779,614
110900,Dome Valley-Matakana,Waitemata,60,51,79,759,646
111100,Warkworth West,Waitemata,115,86,147,782,585
111200,Puhoi Valley,Waitemata,154,128,186,828,688
111300,Warkworth East,Waitemata,145,117,186,780,629
111400,Sandspit,Waitemata,21,19,26,808,731
111500,Tawharanui Peninsula,Waitemata,56,60,77,727,779
111600,Te Kuru,Waitemata,125,104,143,874,727
111700,Snells Beach,Waitemata,191,155,229,834,677
111800,Barrier Islands,Auckland,112,108,153,732,706
111900,Algies Bay-Scotts Landing,Waitemata,masked,37,41,>950,902
112100,Wainui-Waiwera,Waitemata,86,76,95,905,800
112200,Parakai,Waitemata,151,112,185,816,605
112300,Helensville Rural,Waitemata,85,70,95,895,737
112400,Helensville,Waitemata,311,255,384,810,664
112500,Waitoki,Waitemata,49,41,60,817,683
112600,Waikoukou Valley,Waitemata,76,65,84,905,774
112700,Orewa North,Waitemata,145,129,161,901,801
112800,Hatfields Beach,Waitemata,87,81,100,870,810
112900,Orewa South,Waitemata,117,102,129,907,791
113000,Orewa Central,Waitemata,137,114,150,913,760
113100,Millwater North,Waitemata,masked,62,73,>950,849
113200,Waipatukahu,Waitemata,131,120,154,851,779
113300,Millwater South,Waitemata,104,91,125,832,728
113400,Dairy Flat North,Waitemata,96,62,131,733,473
113500,Dairy Flat West,Waitemata,45,42,55,818,764
113600,Kingsway,Waitemata,70,63,80,875,788
113800,Silverdale Central (Auckland),Waitemata,32,28,48,667,583
113900,Red Beach West,Waitemata,83,67,102,814,657
114000,Red Beach East,Waitemata,168,151,188,894,803
114100,Silverdale South (Auckland),Waitemata,73,70,104,702,673
114200,Waimauku,Waitemata,78,65,83,940,783
114300,Gulf Islands,Waitemata,5 or less,5 or less,masked,667,667
114400,Vipond,Waitemata,151,129,177,853,729
114500,Muriwai,Waitemata,72,72,79,911,911
114600,Stanmore Bay West,Waitemata,165,141,184,897,766
114700,Kumeu Rural West,Waitemata,93,81,108,861,750
114800,Okura Bush,Waitemata,48,34,59,814,576
114900,Whangaparoa Central,Waitemata,205,181,248,827,730
115000,Kumeu-Huapai,Waitemata,215,189,231,931,818
115100,Stanmore Bay East,Waitemata,189,159,215,879,740
115200,Manly West,Waitemata,127,95,158,804,601
115300,Muriwai Valley-Bethells Beach,Waitemata,54,48,68,794,706
115400,Tindalls-Matakatia,Waitemata,86,77,91,945,846
115500,Coatesville,Waitemata,57,46,71,803,648
115600,Dairy Flat South,Waitemata,45,41,61,738,672
115700,Gulf Harbour North,Waitemata,masked,94,114,>950,825
115800,Manly East,Waitemata,165,139,197,838,706
115900,Riverhead,Waitemata,133,109,166,801,657
116000,Army Bay,Waitemata,masked,50,64,>950,781
116100,Kumeu Rural East,Waitemata,139,120,174,799,690
116200,Gulf Harbour South,Waitemata,43,44,58,741,759
116300,Paremoremo West,Waitemata,30,23,32,938,719
116400,Taupaki,Waitemata,81,71,87,931,816
116500,Long Bay,Waitemata,19,19,33,576,576
116600,Paremoremo East,Waitemata,108,100,124,871,806
116700,Albany Heights,Waitemata,91,79,102,892,775
116800,Awaruku,Waitemata,108,100,123,878,813
116900,Fairview Heights,Waitemata,59,52,71,831,732
117000,Whenuapai,Waitemata,363,298,414,877,720
117100,Waitakere Ranges North,Waitemata,77,66,82,939,805
117200,Torbay,Waitemata,116,99,130,892,762
117300,Albany Central,Waitemata,89,69,109,817,633
117400,Albany West,Waitemata,masked,49,60,>950,817
117500,Glamorgan,Waitemata,117,112,137,854,818
117600,Oteha East,Waitemata,62,52,71,873,732
117700,Northcross,Waitemata,masked,84,96,>950,875
117800,Oteha West,Waitemata,13,12,21,619,571
117900,Waiake,Waitemata,103,89,123,837,724
118000,Waitakere,Waitemata,144,122,173,832,705
118100,Albany South,Waitemata,86,75,97,887,773
118200,Browns Bay South West,Waitemata,113,98,129,876,760
118300,Browns Bay Central,Waitemata,89,87,97,918,897
118400,Schnapper Rock,Waitemata,74,63,87,851,724
118500,Pinehill ,Waitemata,58,54,72,806,750
118600,North Harbour,Waitemata,46,36,67,687,537
118700,Browns Bay South East,Waitemata,72,59,79,911,747
118800,Westgate Central,Waitemata,9,11,12,750,917
118900,Greenhithe West,Waitemata,98,81,111,883,730
119000,Rothesay Bay,Waitemata,51,46,54,944,852
119100,Greenhithe East,Waitemata,83,73,94,883,777
119200,Hobsonville,Waitemata,55,55,59,932,932
119400,Greenhithe South,Waitemata,masked,masked,67,>950,>950
119500,Murrays Bay West,Waitemata,65,66,73,890,904
119600,Westgate South,Waitemata,193,170,247,781,688
119700,Windsor Park,Waitemata,24,24,30,800,800
119800,West Harbour West,Waitemata,419,325,562,746,578
119900,Unsworth Heights West,Waitemata,masked,46,54,>950,852
120000,Murrays Bay East,Waitemata,masked,52,62,>950,839
120100,Birdwood West,Waitemata,77,64,96,802,667
120200,Hobsonville Point,Waitemata,217,207,236,919,877
120300,West Harbour Clearwater Cove,Waitemata,masked,173,199,>950,869
120400,Unsworth Heights East,Waitemata,150,116,163,920,712
120500,Mairangi Bay North,Waitemata,76,66,81,938,815
120600,Massey Central,Waitemata,380,305,473,803,645
120700,West Harbour Luckens Point,Waitemata,masked,95,102,>950,931
120800,Mairangi Bay South,Waitemata,masked,73,88,>950,830
120900,Massey Royal Road West,Waitemata,290,220,367,790,599
121000,Bayview East,Waitemata,163,129,187,872,690
121100,Swanson Rural,Waitemata,161,140,192,839,729
121200,Sunnynook South,Waitemata,94,80,113,832,708
121300,Sunnynook North,Waitemata,83,72,93,892,774
121400,Bayview West,Waitemata,90,79,120,750,658
121500,Totara Vale North,Waitemata,126,111,150,840,740
121600,Royal Heights North,Waitemata,357,289,429,832,674
121700,Massey West,Waitemata,129,95,184,701,516
121800,Beach Haven West,Waitemata,211,203,251,841,809
121900,Totara Vale South,Waitemata,176,134,198,889,677
122000,Swanson,Waitemata,234,199,281,833,708
122100,Bayview South,Waitemata,masked,108,131,>950,824
122200,Campbells Bay,Waitemata,77,73,82,939,890
122300,Royal Heights South,Waitemata,370,303,485,763,625
122400,Beach Haven East,Waitemata,445,346,568,783,609
122500,Massey East,Waitemata,352,289,471,747,614
122600,Forrest Hill North,Waitemata,50,48,61,820,787
122700,Glenfield North,Waitemata,131,102,153,856,667
122800,Birkdale North,Waitemata,366,303,416,880,728
122900,Massey South,Waitemata,515,433,628,820,689
123000,Ranui North,Waitemata,535,406,677,790,600
123100,Glenfield West,Waitemata,128,116,146,877,795
123200,Te Atatu Peninsula North West,Waitemata,411,353,493,834,716
123300,Glenfield South West,Waitemata,157,142,183,858,776
123400,Forrest Hill West,Waitemata,103,85,111,928,766
123500,Wairau Valley ,Waitemata,15,10,17,882,588
123600,Forrest Hill East,Waitemata,82,72,95,863,758
123700,Castor Bay,Waitemata,masked,99,112,>950,884
123800,Ranui Domain,Waitemata,454,338,603,753,561
123900,Beach Haven South,Waitemata,155,136,168,923,810
124000,Glenfield Central,Waitemata,151,136,168,899,810
124100,Piha,Waitemata,78,67,90,867,744
124200,Ranui South West,Waitemata,291,224,379,768,591
124300,Henderson Larnoch,Waitemata,485,372,602,806,618
124400,Birkdale South,Waitemata,287,252,320,897,788
124500,Te Atatu Peninsula Central,Waitemata,462,389,541,854,719
124600,Glenfield East,Waitemata,84,68,100,840,680
124700,Henderson Valley,Waitemata,105,89,130,808,685
124800,Te Atatu Peninsula West,Waitemata,476,411,544,875,756
124900,Henderson Lincoln West,Waitemata,339,265,446,760,594
125000,Ranui South East,Waitemata,239,193,291,821,663
125100,Henderson Lincoln East,Waitemata,10,10,18,556,556
125200,Birkenhead West,Waitemata,masked,166,186,>950,892
125300,Te Atatu Peninsula East,Waitemata,259,226,287,902,787
125400,Milford West,Waitemata,72,66,77,935,857
125500,Westlake,Waitemata,63,57,74,851,770
125600,Hillcrest North (Auckland),Waitemata,126,106,146,863,726
125700,Henderson Lincoln South,Waitemata,209,178,247,846,721
125800,Hillcrest West (Auckland),Waitemata,113,98,133,850,737
125900,Milford Central,Waitemata,37,30,40,925,750
126000,Summerland South,Waitemata,151,127,179,844,709
126100,Summerland North,Waitemata,136,115,150,907,767
126200,Hillcrest East (Auckland),Waitemata,166,139,184,902,755
126300,Chatswood,Waitemata,90,77,111,811,694
126400,Te Atatu South-Edmonton,Waitemata,359,287,425,845,675
126500,Birkenhead North,Waitemata,121,115,135,896,852
126600,Takapuna West,Waitemata,122,105,146,836,719
126700,Henderson North,Waitemata,369,308,449,822,686
126800,Takapuna Central,Waitemata,59,52,69,855,754
126900,Western Heights (Auckland),Waitemata,275,227,331,831,686
127000,Te Atatu South-Central,Waitemata,357,304,392,911,776
127100,Northcote Central (Auckland),Waitemata,155,128,180,861,711
127200,Akoranga,Waitemata,80,69,98,816,704
127300,Northcote South (Auckland),Waitemata,102,88,116,879,759
127400,Birkenhead South,Waitemata,masked,72,83,>950,867
127500,Henderson Central,Waitemata,117,90,148,791,608
127600,Waiatarua,Waitemata,159,142,180,883,789
127700,Te Atatu South-McLeod North,Waitemata,294,244,349,842,699
127800,Henderson Valley Park,Waitemata,274,211,333,823,634
127900,Henderson North East,Waitemata,176,136,228,772,596
128000,Waitakere Ranges South,Waitemata,masked,65,85,>950,765
128100,Northcote Tuff Crater,Waitemata,63,58,69,913,841
128200,Northcote Point (Auckland),Waitemata,125,113,135,926,837
128300,McLaren Park,Waitemata,433,354,509,851,695
128400,Henderson East,Waitemata,225,184,261,862,705
128500,Te Atatu South-McLeod South,Waitemata,308,252,379,813,665
128600,Takapuna South,Waitemata,masked,43,47,>950,915
128700,Rosebank Peninsula,Auckland,5 or less,5 or less,masked,333,333
