"sa2_code","sa2_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","16244","12880","20620","788","625"
"100100","North Cape","Northland","704","629","820","859","767"
"100200","Rangaunu Harbour","Northland","771","626","986","782","635"
"100400","Karikari Peninsula","Northland","371","281","511","726","550"
"100500","Tangonge","Northland","424","371","538","788","690"
"100600","Ahipara","Northland","442","367","577","766","636"
"100700","Kaitaia East","Northland","972","688","1296","750","531"
"100800","Kaitaia West","Northland","1394","1010","1834","760","551"
"100900","Rangitihi","Northland","275","209","375","733","557"
"101000","Oruru-Parapara","Northland","229","166","309","741","537"
"101100","Taumarumaru","Northland","443","357","558","794","640"
"101200","Herekino-Takahue","Northland","285","216","398","716","543"
"101300","Peria","Northland","240","179","340","706","526"
"101400","Taemaro-Oruaiti","Northland","195","151","294","663","514"
"101500","Whakapaku","Northland","176","146","263","669","555"
"101600","Hokianga North","Northland","484","427","621","779","688"
"101700","Kohukohu-Broadwood","Northland","264","220","360","733","611"
"101800","Whakarara","Northland","428","363","518","826","701"
"101900","Kaeo","Northland","288","247","428","673","577"
"102000","Omahuta Forest-Horeke","Northland","381","298","611","624","488"
"102100","Hokianga South","Northland","447","356","672","665","530"
"102200","Lake Manuwai-Kapiro","Northland","173","134","243","712","551"
"102300","Okaihau","Northland","225","178","289","779","616"
"102400","Rangitane-Purerua","Northland","250","203","321","779","632"
"102500","Waipapa","Northland","79","60","114","693","526"
"102600","Puketotara","Northland","175","150","217","806","691"
"102700","Waima Forest","Northland","505","373","759","665","491"
"102800","Riverview","Northland","181","153","218","830","702"
"102900","Waipoua Forest","Northland","416","344","612","680","562"
"103000","Kerikeri Central","Northland","341","263","441","773","596"
"103100","Kerikeri South","Northland","179","146","224","799","652"
"103200","Ohaeawai-Waimate North","Northland","320","275","408","784","674"
"103300","Puketona-Waitangi","Northland","219","200","272","805","735"
"103400","Ngapuhi","Northland","647","510","929","696","549"
"103500","Kaikohe","Northland","1859","1468","2712","685","541"
"103600","Pakaraka","Northland","108","84","140","771","600"
"103700","Haruru","Northland","165","137","209","789","656"
"103800","Russell","Northland","119","106","132","902","803"
"103900","Paihia","Northland","341","279","470","726","594"
"104000","Mataraua Forest","Northland","232","172","331","701","520"
"104100","Matawaia-Taumarere","Northland","536","421","776","691","543"
"104200","Russell Peninsula","Northland","48","41","70","686","586"
"104300","Opua (Far North District)","Northland","131","101","179","732","564"
"104400","Russell Forest-Rawhiti","Northland","281","251","378","743","664"
"104500","Moerewa","Northland","880","735","1170","752","628"
"104600","Kawakawa","Northland","617","499","808","764","618"
"104700","Maromaku","Northland","167","133","240","696","554"
"104800","Mangakahia-Hukerenui","Northland","445","353","574","775","615"
"104900","Whangaruru","Northland","508","404","631","805","640"
"105100","Matarau","Northland","276","227","355","777","639"
"105200","Hikurangi","Northland","337","277","455","741","609"
"105300","Kauri","Northland","183","153","224","817","683"
"105400","Maungatapere","Northland","338","299","416","812","719"
"105500","Kamo West","Northland","322","269","384","839","701"
"105600","Matapouri-Tutukaka","Northland","167","142","214","780","664"
"105700","Kiripaka","Northland","136","110","184","739","598"
"105800","Kamo East","Northland","670","536","885","757","606"
"105900","Granfield Reserve","Northland","383","314","451","849","696"
"106000","Kamo Central","Northland","327","264","395","828","668"
"106100","Whau Valley","Northland","483","405","590","819","686"
"106200","Tikipunga North","Northland","762","588","967","788","608"
"106300","Pukenui","Northland","139","118","172","808","686"
"106400","Otangarei","Northland","862","619","1262","683","490"
"106500","Tikipunga South","Northland","934","766","1161","804","660"
"106600","Kensington (Whangarei District)","Northland","536","431","695","771","620"
"106700","Abbey Caves-Glenbervie","Northland","108","96","142","761","676"
"106800","Mairtown","Northland","420","351","520","808","675"
"106900","Maunu-Horahora","Northland","424","352","518","819","680"
"107000","Woodhill-Vinetown","Northland","535","438","720","743","608"
"107100","Whangarei Central","Northland","198","160","255","776","627"
"107200","Riverside","Northland","300","249","407","737","612"
"107300","Raumanga","Northland","999","714","1413","707","505"
"107400","Tarewa","Northland","598","451","848","705","532"
"107500","Morningside (Whangarei District)","Northland","591","462","761","777","607"
"107600","Ngunguru","Northland","124","109","152","816","717"
"107700","Otaika-Portland","Northland","211","167","284","743","588"
"107800","Oakleigh-Mangapai","Northland","172","152","230","748","661"
"107900","Port-Limeburners","Northland","17","10","29","586","345"
"108000","Pataua","Northland","121","96","174","695","552"
"108100","Onerahi Park","Northland","202","170","246","821","691"
"108200","Sherwood Rise","Northland","486","400","612","794","654"
"108300","Onerahi","Northland","426","314","574","742","547"
